player_id,name,predicted_value_2026
3333,James Milner,569239.6522678757
4391,Boy Waterman,31416.149646683414
9500,David Marshall,50127.68495358135
12359,Niki Mäenpää,42850.80035784648
12589,Craig Gordon,95332.15841159916
12880,Dimitrios Sotiriou,61515.3139635328
14086,Ashley Young,292116.4620595641
14555,Scott Carson,140055.10930663455
15452,Raúl Albiol,1209040.9117299817
15570,Igor Akinfeev,547906.6642646934
15956,Jesús Navas,1668879.9804264766
16136,Dante,311909.7119149729
16756,Oleg Ivanov,61442.7661015069
16911,Kasper Schmeichel,585865.938423591
17965,Hugo Lloris,597410.244154122
18940,Rémy Riou,187011.1694244575
19041,Gökhan Inler,50137.87077785992
21306,Andy Considine,60643.36279188076
25520,Remko Pasveer,83545.57404079233
7825,Pepe Reina,408265.7166747151
22628,Benoît Costil,342629.9954894218
14132,Pepe,283162.2258599098
22141,Antonio Mirante,125270.91762787738
24846,Ricardo Batista,106454.57250317259
27807,Daniele Padelli,78727.23399178559
29241,Thiago Silva,547685.8767423644
29391,Michael McGovern,36090.71592948981
29364,João Moutinho,434012.99092702905
29692,Lukasz Fabianski,424005.5344240893
29712,John Ruddy,98557.27291887213
27706,Mikhail Kerzhakov,210175.1616754771
17259,Manuel Neuer,1767305.8502157687
25557,Sergio Ramos,1638768.3523754764
21872,Gianluca Pegolo,87206.6072109738
25508,Salvatore Sirigu,193476.85409951207
28140,Max Gradel,478454.5577513272
29559,Guillermo Ochoa,578464.4417136395
33027,Tim Krul,252829.09597542198
33571,Lorenzo De Silvestri,188127.72788420302
33210,Przemyslaw Tyton,52434.115732715145
33781,Vito Mannone,114128.0091156661
33706,Nani,165116.12837331038
32467,Ivan Rakitic,2145743.252855271
27992,Luka Modric,5055316.203543455
33862,Sinan Bolat,236586.69521611463
34322,Sokratis Papastathopoulos,408998.68244806107
23951,Steve Mandanda,481021.27411009977
34283,Lazaros Christodoulopoulos,80235.09121737689
33480,Davino Verhulst,35329.92088852452
33763,Massimo Coda,536910.477153946
31599,Norman Theuerkauf,252087.29310099696
35865,Andrea Consigli,456104.1316967325
34289,Konstantinos Giannoulis,36266.05674709214
33829,José Fonte,90069.02456726063
36364,Mikhail Sivakov,56498.7974332351
33873,Asmir Begovic,188627.51567597277
31067,Jonathan de Guzmán,168177.37979555843
31653,Tobias Sippel,181543.06137328813
28396,Edin Džeko,2118881.0339566637
26485,Jérôme Boateng,488772.1282706795
27493,Iván Cuéllar,59091.69599663336
37838,Dejan Lovren,737393.2081118142
34601,Raúl García,861513.5962356963
39259,Makoto Hasebe,267408.64881100017
25732,Dmytro Chygrynskyi,59685.37124771517
39333,Caner Erkin,153366.4484134162
40204,Joe Hart,323283.5510372137
39728,Mats Hummels,2613944.484946776
39983,Leonardo Bonucci,708229.0450036698
20506,Andrés Guardado,752088.3209867352
41355,Ricky van Wolfswinkel,402206.8312570061
41583,Bram van Polen,60360.53642960976
40423,Claudio Bravo,664384.4536935799
42205,Yann Sommer,3696480.0890102084
42460,Ivan Perisic,1546198.8305389956
35247,Vieirinha,180160.01028261214
40687,Mathieu Valbuena,144853.45679976328
43858,Adam Legzdins,72895.32637840329
43250,Jan Vertonghen,1105934.9007932113
41384,Marko Arnautovic,2064035.2732838027
35047,Axel Witsel,2076331.6030828636
44062,Antonio Adán,242583.65781876422
40680,Sven Ulreich,476362.93251697754
34784,Lasse Schöne,100893.99265956547
40633,Milan Badelj,486319.36975152744
42547,Lewis Stevenson,65742.02982912962
41131,Trevor Carson,80379.47415957539
45026,Rui Patrício,1172230.7986926353
18644,Álvaro Negredo,327137.80578869476
40433,Alexis Sánchez,1411502.3618678113
46001,Moussa Sissoko,739353.9334214594
42942,Georgios Tzavellas,144561.44517685007
46062,Sotiris Ninis,75840.44735697364
46104,Stevan Jovetic,456640.19321059214
44996,Serdar Aziz,467190.90994954214
28356,Denis Petric,60410.36570597775
42735,Sven Kums,210582.71615086822
45314,Federico Fazio,286967.0309052867
48002,Angelo Ogbonna,377736.9523039332
22860,Jesper Hansen,64101.69561578212
44058,Wojciech Szczesny,3363587.829538594
36139,Dušan Tadić,1781987.5282058117
44059,Ervin Zukanovic,68724.51836694342
48067,Artem Dzyuba,1621690.9613149588
38805,Kirill Nababkin,59024.582704247834
37549,Anton Shunin,234553.8995666231
45660,Eric-Maxim Choupo-Moting,1865522.0108470935
42412,Jonny Evans,1244600.025595166
45494,Wayne Hennessey,148289.58770384843
50655,Efecan Karaca,240084.8776763117
46083,Domagoj Vida,622923.5599140245
46180,Zoran Tosic,60043.02210311583
49676,Nikita Burmistrov,63173.11452742571
31909,Toni Kroos,6027686.884396004
45858,Christian Noboa,413821.28892062744
40792,Manuel Riemann,297879.3243963834
51977,Pavao Pervan,167264.38873262246
51174,Fernando,1449746.8757880675
52403,Dimitrios Siovas,238689.63816853493
52261,Volkan Babacan,95589.50740511256
30321,Oscar Trejo,842742.6901257553
50355,Fedor Smolov,1373405.4145392717
54217,Raúl Fernández,124885.97778134502
40034,Jens Grahl,169771.25113185166
45666,Björn Kopplin,112209.40271128071
45320,Ángel Di María,2239759.928444775
52495,Chris Basham,349132.12528049573
43530,Adam Lallana,583412.5879954977
45601,Martin Hansen,119891.59472015713
52380,Jonny Hayes,75569.90768106577
52570,Fraser Forster,660838.400922999
53360,Jay Rodríguez,597340.1002343909
51274,Rizvan Utsiev,32053.684720747486
54906,Matteo Darmian,2833702.1412185663
55000,Vincenzo Fiorillo,92860.93442146838
55356,Aleksey Ionov,275124.242096667
55439,Nikolay Zabolotnyi,157522.34069590556
47004,Aleksandr Dovbnya,32691.880575210667
52059,Zanka,540123.9577583476
51733,Andrew Shinnie,96828.81386433908
51736,Marco Mancosu,235080.14583615668
55687,Ritchie De Laet,148655.39245029775
40478,Roman Neustädter,118349.03456388734
51894,Mert Günok,763675.2751283123
54177,Mahmut Tekdemir,62346.87273958038
56809,Alexandre Oukidja,308612.8619424414
56818,Morgan Schneiderlin,347316.8086509148
52769,Willian,1754674.6290513007
55369,Guilherme,128624.89696149339
57134,Matthieu Dreyer,81634.24381810006
46504,Eric Bicfalvi,229901.56752131353
57162,Sofiane Feghouli,270417.66715086164
57216,Ismaël Traoré,148812.78602283023
57500,César Azpilicueta,1687082.3555121352
57723,Iván Marcano,128143.09098141019
55619,Nordin Amrabat,178003.68050289428
56631,Erwin Mulder,69365.09951353114
57534,Damien Marcq,116755.24197530682
45228,Ryan Flynn,63540.49113303497
58429,Vladimir Poluyakhtov,53795.26255349248
43512,Ömer Toprak,239033.64837684995
58088,Fernando Muslera,954572.6195576332
58971,Giorgiy Shelia,345751.9283375915
52281,Güray Vural,156894.02508881403
59209,Soslan Dzhanaev,56883.97383789974
